tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
98500,321,39,1.3493789819890645,3.389591506026542,5.507812561537341,9.512707995902856,31,106,31,25,8115,0,55,302,75,1045,233
98600,354,22,1.3395491692792314,3.4222115014328627,6.456538684011204,10.06377539275024,35,102,35,27,8197,0,44,325,77,1115,256
98700,371,13,1.334035510069567,3.315411899554432,4.4271913370800835,9.204263602070741,28,109,28,19,7891,0,36,332,89,1099,227
98800,324,30,1.3639365229033589,3.3196429687017788,4.612476207291684,8.844125186210569,32,105,32,21,7483,0,23,292,72,957,211
98900,339,35,1.3534385917937533,3.3827805157089217,4.748946021943315,9.091233188766859,33,104,33,23,7736,0,19,325,87,1023,199
99000,339,28,1.3520479333335254,3.3261897270857776,4.089774741572497,8.597499678804166,32,105,32,20,7626,0,28,349,77,997,180
99100,353,27,1.3182934994982771,3.2887636579742177,3.648096710059458,8.220337395432123,30,107,30,21,7584,0,23,354,71,1027,193
99200,356,21,1.3181337969010962,3.3593674908962794,4.117804243923543,8.528998205514892,33,104,33,27,7798,0,20,367,69,1106,161
99300,343,24,1.367047120010653,3.4030579651238213,3.903633778982193,8.611936072270032,29,108,28,13,7174,0,7,346,82,939,232
99400,313,27,1.3650197036220584,3.3631667339596434,4.438308193059665,9.009714878985903,32,105,32,25,7403,0,21,326,67,985,190
99500,352,33,1.3411285058143019,3.32009690018481,5.627021479568874,9.587476569212335,32,105,32,21,8038,0,34,348,77,1088,202
99600,346,28,1.33201225443385,3.386841681502789,4.802217045880189,9.471566778745927,34,103,33,24,7980,0,38,345,82,1057,229
99700,362,13,1.3544632487073378,3.390339791572375,4.601421866703986,9.885942894652649,30,107,30,17,7440,0,19,361,81,986,242
99800,340,37,1.371957341787876,3.2555875019881477,4.734418983197073,9.015728628630086,27,110,27,19,7622,0,26,352,86,934,206
99900,310,40,1.3688514213663299,3.366836500120256,4.064925186420122,8.168453096717819,29,108,29,22,7655,0,41,327,86,928,192
100000,299,33,1.3562376563326117,3.309689276066212,6.172198537487624,9.314430466678145,30,107,29,23,7740,0,65,285,72,962,207
100100,325,25,1.3563736637135484,3.430253466954892,5.102219684377783,9.202110396180895,30,107,30,21,7583,0,28,297,90,957,240
100200,337,29,1.3723067673811005,3.3310847221738498,4.435708223773205,8.548168629948442,30,107,30,20,7549,0,31,270,93,955,221
100300,304,35,1.3688641441873224,3.4284254391807023,5.071865798735149,9.418955631021884,27,110,27,19,7612,0,21,247,100,998,168
100400,338,59,1.4101814864803066,3.3334417987069678,5.424079396558035,9.970472403791597,36,101,36,29,8664,0,57,327,111,1028,238
100500,328,49,1.34623405021133,3.372748590891393,6.774639946697608,10.000939873593898,32,105,31,27,8151,0,65,276,100,961,238
100600,331,38,1.3417366349240774,3.3114826337681706,5.70211750676598,9.289438463984752,29,108,29,23,7887,0,41,305,78,983,221
100700,316,31,1.322777799589789,3.3543902437345934,5.308095246987276,8.480310937892517,33,104,33,26,7687,0,31,277,83,1008,184
100800,343,40,1.34327277029022,3.2387526289798796,5.086211353469444,9.065233116608942,33,104,33,20,8052,0,25,289,98,1035,214
100900,316,33,1.349605988380315,3.340806379722789,6.25614653638415,9.8910454118465,27,110,26,19,7548,0,30,231,94,967,228
101000,283,24,1.3729862385308713,3.3303129645365477,5.514751031677974,9.359238380952444,29,108,29,23,7207,0,27,209,82,875,264
101100,307,27,1.3481925732386524,3.3207525808814506,5.370743398199668,9.436553120555056,32,105,32,22,7679,0,43,252,68,957,277
101200,320,46,1.3683832762263426,3.335661549406905,5.675264146027692,9.447419417398908,32,105,31,21,7986,0,38,295,83,932,217
101300,316,46,1.367046057313056,3.5182579684882658,4.90870402903471,8.962379345340949,31,106,31,25,7791,0,26,264,78,948,216
101400,311,45,1.358606638437337,3.4168707226781816,4.924887675392013,9.086300775132345,32,105,32,31,8006,0,24,324,77,998,200
101500,308,50,1.3634752871350324,3.473459180654227,7.998401111057847,9.961918473210657,29,108,29,23,8169,0,59,310,72,944,183
101600,306,50,1.386705750085363,3.3808151367048027,5.529897604523769,9.040378885674386,31,106,31,28,8013,0,20,277,63,974,202
