tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
2400,283,21,1.7934347002369933,3.3870085965805767,10.053546936766361,12.097074940324548,42,95,0,0,12869,0,81,325,183,816,402
2500,313,35,1.7976376503978606,3.3404462796835075,7.896010479974102,12.230578138751518,47,90,0,0,12994,0,81,327,174,804,406
2600,323,25,1.8094701849062687,3.276005010512364,8.748961866981302,12.527458526356464,45,92,0,0,13459,0,100,358,202,869,438
2700,310,20,1.8359313684807856,3.469286335190438,9.310512866150017,11.98582836254732,40,97,0,0,12007,0,91,317,177,723,355
2800,299,26,1.8363520186205604,3.3372559371313235,9.169493423844818,11.78945605443748,43,94,0,0,12846,0,107,330,184,795,355
2900,311,14,1.7932519057928256,3.410899806376976,10.710791398445032,13.20444201507127,46,91,0,0,13569,0,127,410,178,817,431
3000,311,17,1.8053770892952903,3.4213252596217,8.944875052621954,12.679095224134302,40,97,0,0,13079,0,94,379,165,789,433
3100,321,16,1.8230537782207474,3.3778925769811337,8.822849366689756,12.400791314909197,44,93,0,0,12697,0,70,354,154,761,421
3200,310,17,1.8080214030279016,3.297795980335453,8.869725880844305,12.463149765911767,42,95,0,0,13129,0,110,370,145,779,439
3300,292,20,1.7851961074735956,3.3939367427490312,9.97693596699773,12.127094876487613,44,93,0,0,12800,0,103,378,151,753,387
3400,303,22,1.7988274290381858,3.2873290304466782,8.530286311727487,11.724899572649575,42,95,0,0,12400,0,67,362,149,744,384
3500,331,29,1.781018747145589,3.287961115540134,7.947777597698065,11.970517006364886,39,98,0,0,13206,0,76,410,136,785,408
3600,307,22,1.7597427861716337,3.435591278606304,8.136264046340132,12.271715144652166,47,90,0,0,13079,0,59,414,140,775,438
3700,307,20,1.7959276081581257,3.3769385026009564,8.239525988345495,12.27578522632376,39,98,0,0,12466,0,76,349,152,743,392
3800,307,17,1.8058808811240779,3.463747839623547,8.87285200913936,12.711904915598229,45,92,0,0,13120,0,119,370,187,741,477
3900,312,28,1.7888556883759206,3.3431719749007076,8.146979924776769,12.180024145312593,44,93,0,0,12825,0,78,367,171,719,406
4000,303,24,1.7968864795067845,3.34011654051853,8.687372795710594,12.144523978418345,45,92,0,0,13236,0,109,361,164,777,424
4100,296,35,1.7807891376991498,3.333568779431784,10.289294937819317,12.684232256005094,43,94,0,0,12858,0,117,297,153,768,422
4200,304,23,1.7457581347904993,3.374505206309,8.37290652059499,12.597384491153843,39,98,0,0,12476,0,80,289,132,784,393
4300,299,38,1.7478198291709515,3.4468210450540173,10.61380738001249,13.263099340545937,44,93,0,0,13546,0,101,332,151,827,441
4400,295,29,1.77223584585766,3.4133705155783343,9.171399540990485,12.615733614124085,42,95,0,0,12365,0,62,335,134,710,396
